,dataset,model,annotator,precision,recall,f1_score,y_labels,order
81,concept_problem_extraction,mistral-7b,Annotator_7,0.33972729164614135,0.4096354038816101,0.33298124171544685,Mistral (7b),0
73,concept_problem_extraction,mistral-7b,Annotator_10,0.15018800578583397,0.47136951069300553,0.1928743121005751,Mistral (7b),0
502,risk_factor_cad_extraction,mistral-7b,Annotator_8,0.04299652562773133,0.9160634981860314,0.0652075161433672,Mistral (7b),0
416,medication_extraction,mistral-7b,Annotator_6,0.47670814978823556,0.4660660825777988,0.42715932071115426,Mistral (7b),0
417,medication_extraction,mistral-7b,Annotator_7,0.35316881550934703,0.438604376923132,0.3281922071322537,Mistral (7b),0
418,medication_extraction,mistral-7b,Annotator_8,0.6185833138991904,0.4949516156492017,0.505068719284292,Mistral (7b),0
419,medication_extraction,mistral-7b,Annotator_9,0.3576357632458742,0.42971758026687085,0.34053943365213546,Mistral (7b),0
492,risk_factor_cad_extraction,mistral-7b,Annotator_1,0.026917317734977457,0.9257496738662905,0.04414821198069157,Mistral (7b),0
493,risk_factor_cad_extraction,mistral-7b,Annotator_10,0.035484211993210446,0.9287755355700996,0.05409933439994266,Mistral (7b),0
415,medication_extraction,mistral-7b,Annotator_5,0.34435634215146044,0.42695558533933337,0.3329976818186044,Mistral (7b),0
494,risk_factor_cad_extraction,mistral-7b,Annotator_11,0.040334154226463984,0.929684836581519,0.06471020680731178,Mistral (7b),0
496,risk_factor_cad_extraction,mistral-7b,Annotator_2,0.03197323731519272,0.9289727568043534,0.052191740226174614,Mistral (7b),0
497,risk_factor_cad_extraction,mistral-7b,Annotator_3,0.030931390532103614,0.92661549899985,0.049778173831481774,Mistral (7b),0
498,risk_factor_cad_extraction,mistral-7b,Annotator_4,0.033952827395259615,0.9294203643159047,0.054743415700791075,Mistral (7b),0
499,risk_factor_cad_extraction,mistral-7b,Annotator_5,0.03286968822987868,0.9235794481164219,0.05274698288682781,Mistral (7b),0
500,risk_factor_cad_extraction,mistral-7b,Annotator_6,0.045939814266234474,0.9134965885001913,0.06718366689654427,Mistral (7b),0
501,risk_factor_cad_extraction,mistral-7b,Annotator_7,0.03087867094758123,0.9123286303659273,0.05042435400627228,Mistral (7b),0
495,risk_factor_cad_extraction,mistral-7b,Annotator_12,0.0321429031521744,0.9262435909957,0.05238941834227168,Mistral (7b),0
414,medication_extraction,mistral-7b,Annotator_4,0.3179239345215985,0.4214144430124283,0.29870665805068897,Mistral (7b),0
412,medication_extraction,mistral-7b,Annotator_2,0.7482741963187004,0.5496322276056964,0.6080750459479232,Mistral (7b),0
413,medication_extraction,mistral-7b,Annotator_3,0.2886050763267842,0.4143275748562369,0.28162097984575934,Mistral (7b),0
408,medication_extraction,mistral-7b,Annotator_1,0.24620057434830306,0.3996727774213387,0.24431708273985045,Mistral (7b),0
409,medication_extraction,mistral-7b,Annotator_10,0.21734215499516824,0.40000354645523084,0.22333326452144767,Mistral (7b),0
410,medication_extraction,mistral-7b,Annotator_11,0.2844902036919149,0.4140643127646271,0.28286348675109524,Mistral (7b),0
411,medication_extraction,mistral-7b,Annotator_12,0.2905428815930353,0.5815245928510466,0.3445168768062754,Mistral (7b),0
72,concept_problem_extraction,mistral-7b,Annotator_1,0.2290214692570035,0.4408371727771341,0.2606568993872766,Mistral (7b),0
503,risk_factor_cad_extraction,mistral-7b,Annotator_9,0.04701855028926647,0.9112338348713852,0.07422209861635866,Mistral (7b),0
0,concept_problem_extraction,Llama-2-13b-chat,Annotator_1,0.302566291164364,0.3958799616224886,0.3032301097230282,Llama-2 (13b),1
176,concept_treatment_extraction,Llama-2-13b-chat,Annotator_6,0.29528137453319514,0.4831184589977142,0.31407803425618047,Llama-2 (13b),1
175,concept_treatment_extraction,Llama-2-13b-chat,Annotator_5,0.2059810789292166,0.5157919060915651,0.24365066957746648,Llama-2 (13b),1
174,concept_treatment_extraction,Llama-2-13b-chat,Annotator_4,0.38941745448470044,0.4438917083652476,0.3688612463274376,Llama-2 (13b),1
173,concept_treatment_extraction,Llama-2-13b-chat,Annotator_3,0.09713301616601236,0.47142279314949703,0.1341622050955887,Llama-2 (13b),1
172,concept_treatment_extraction,Llama-2-13b-chat,Annotator_2,0.11151028415359437,0.3168142270202938,0.1339862763164965,Llama-2 (13b),1
171,concept_treatment_extraction,Llama-2-13b-chat,Annotator_12,0.4046449288862318,0.43286162362746994,0.34518038553978964,Llama-2 (13b),1
170,concept_treatment_extraction,Llama-2-13b-chat,Annotator_11,0.253754463194098,0.5240328520603543,0.3010796364797282,Llama-2 (13b),1
169,concept_treatment_extraction,Llama-2-13b-chat,Annotator_10,0.14572912914319308,0.4871264238272276,0.18412013075685912,Llama-2 (13b),1
168,concept_treatment_extraction,Llama-2-13b-chat,Annotator_1,0.12074132250724408,0.4858110141050463,0.16049505993518057,Llama-2 (13b),1
11,concept_problem_extraction,Llama-2-13b-chat,Annotator_9,0.29909084035073624,0.37180183603966743,0.28473803411950954,Llama-2 (13b),1
420,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_1,0.03561140215539826,0.9033601928852926,0.057851068990169306,Llama-2 (13b),1
421,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_10,0.0441071601605127,0.9132586032702111,0.06751439178292569,Llama-2 (13b),1
422,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_11,0.04909780118194317,0.9100087405349149,0.0773094905629699,Llama-2 (13b),1
423,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_12,0.04191665691966056,0.8974193127039947,0.0657010133677149,Llama-2 (13b),1
424,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_2,0.07174207284834211,0.899642567600139,0.10401523349465114,Llama-2 (13b),1
425,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_3,0.0602518485624659,0.9030602169420403,0.08702449436762123,Llama-2 (13b),1
426,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_4,0.06721304841388773,0.9029423910600236,0.0980901211883112,Llama-2 (13b),1
427,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_5,0.034558116754327885,0.9158141467830884,0.05642260438083671,Llama-2 (13b),1
428,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_6,0.07236083678237643,0.9050613483827347,0.09943508081495177,Llama-2 (13b),1
429,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_7,0.0484839968870877,0.8838189901761379,0.07176983781671473,Llama-2 (13b),1
177,concept_treatment_extraction,Llama-2-13b-chat,Annotator_7,0.3277865128756097,0.43019303468146824,0.3265973098898963,Llama-2 (13b),1
430,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_8,0.08193896783919737,0.8833071460943581,0.10614093148207783,Llama-2 (13b),1
178,concept_treatment_extraction,Llama-2-13b-chat,Annotator_8,0.24867402698564323,0.4337598562477049,0.2538355544706471,Llama-2 (13b),1
347,medication_extraction,Llama-2-13b-chat,Annotator_9,0.4656077591789305,0.6566854478711436,0.5090117594090631,Llama-2 (13b),1
336,medication_extraction,Llama-2-13b-chat,Annotator_1,0.40540438028454173,0.6743575571747834,0.4790831805043961,Llama-2 (13b),1
337,medication_extraction,Llama-2-13b-chat,Annotator_10,0.5000815587657896,0.6673908903058842,0.540755031977591,Llama-2 (13b),1
338,medication_extraction,Llama-2-13b-chat,Annotator_11,0.37178854980312676,0.6676030387434275,0.455559524234829,Llama-2 (13b),1
339,medication_extraction,Llama-2-13b-chat,Annotator_12,0.46747129956225536,0.6560288743768518,0.5116951597707236,Llama-2 (13b),1
340,medication_extraction,Llama-2-13b-chat,Annotator_2,0.757652836142385,0.6005765683731507,0.6301550542993006,Llama-2 (13b),1
341,medication_extraction,Llama-2-13b-chat,Annotator_3,0.585975442934993,0.6506258837745373,0.5640265049761908,Llama-2 (13b),1
342,medication_extraction,Llama-2-13b-chat,Annotator_4,0.6546555456872264,0.6315241594901995,0.5956628121882439,Llama-2 (13b),1
343,medication_extraction,Llama-2-13b-chat,Annotator_5,0.4790579121369513,0.6424554198011793,0.5247691539734025,Llama-2 (13b),1
344,medication_extraction,Llama-2-13b-chat,Annotator_6,0.5582122340367034,0.6306951927495006,0.5497896838976433,Llama-2 (13b),1
345,medication_extraction,Llama-2-13b-chat,Annotator_7,0.7104508304368208,0.6369751845807514,0.6399119500297281,Llama-2 (13b),1
346,medication_extraction,Llama-2-13b-chat,Annotator_8,0.9093411364245894,0.6110005953134975,0.7046352958509611,Llama-2 (13b),1
179,concept_treatment_extraction,Llama-2-13b-chat,Annotator_9,0.1241572641037584,0.4714556724693851,0.16669986096343867,Llama-2 (13b),1
431,risk_factor_cad_extraction,Llama-2-13b-chat,Annotator_9,0.05393660529128116,0.8944245380464402,0.08288290340901937,Llama-2 (13b),1
88,concept_test_extraction,Llama-2-13b-chat,Annotator_2,0.10177084615988878,0.2626372478779204,0.11926357876804136,Llama-2 (13b),1
94,concept_test_extraction,Llama-2-13b-chat,Annotator_8,0.4904157931564675,0.3233004990360282,0.32779619529986115,Llama-2 (13b),1
93,concept_test_extraction,Llama-2-13b-chat,Annotator_7,0.3960350420859559,0.3158411148422753,0.2633446330689212,Llama-2 (13b),1
92,concept_test_extraction,Llama-2-13b-chat,Annotator_6,0.3263061082670028,0.305502024272483,0.19886428472966405,Llama-2 (13b),1
91,concept_test_extraction,Llama-2-13b-chat,Annotator_5,0.19814812973843157,0.358679481756503,0.2066982429511878,Llama-2 (13b),1
90,concept_test_extraction,Llama-2-13b-chat,Annotator_4,0.37757281711155655,0.3102543663943265,0.25994430703873594,Llama-2 (13b),1
89,concept_test_extraction,Llama-2-13b-chat,Annotator_3,0.08610783915915612,0.3542651547399834,0.09091570443725401,Llama-2 (13b),1
87,concept_test_extraction,Llama-2-13b-chat,Annotator_12,0.2964270223101887,0.3082664218725636,0.2040794564732702,Llama-2 (13b),1
86,concept_test_extraction,Llama-2-13b-chat,Annotator_11,0.19305733857071092,0.3717393828608097,0.21613913195979906,Llama-2 (13b),1
85,concept_test_extraction,Llama-2-13b-chat,Annotator_10,0.1110283689580759,0.3911882543918196,0.1359823989211357,Llama-2 (13b),1
84,concept_test_extraction,Llama-2-13b-chat,Annotator_1,0.13350806994519698,0.4244217278072195,0.16930902533429532,Llama-2 (13b),1
95,concept_test_extraction,Llama-2-13b-chat,Annotator_9,0.18221987817323676,0.3663167453872234,0.1754817630530509,Llama-2 (13b),1
1,concept_problem_extraction,Llama-2-13b-chat,Annotator_10,0.31989247906337825,0.4028193715053278,0.3100247772654088,Llama-2 (13b),1
2,concept_problem_extraction,Llama-2-13b-chat,Annotator_11,0.33327466412094264,0.39001727324647073,0.3218249867253794,Llama-2 (13b),1
3,concept_problem_extraction,Llama-2-13b-chat,Annotator_12,0.40276995037319535,0.3639567927873712,0.34491206515800776,Llama-2 (13b),1
4,concept_problem_extraction,Llama-2-13b-chat,Annotator_2,0.3078265713681763,0.37394363858652463,0.281061036768811,Llama-2 (13b),1
5,concept_problem_extraction,Llama-2-13b-chat,Annotator_3,0.321089912539032,0.37807857139116663,0.30498589499961215,Llama-2 (13b),1
6,concept_problem_extraction,Llama-2-13b-chat,Annotator_4,0.5025957625499095,0.3463949754089793,0.36691056531955263,Llama-2 (13b),1
7,concept_problem_extraction,Llama-2-13b-chat,Annotator_5,0.3160475685035053,0.38666306757934615,0.30373420291735803,Llama-2 (13b),1
8,concept_problem_extraction,Llama-2-13b-chat,Annotator_6,0.5339657985173293,0.33362718395426727,0.362339225675636,Llama-2 (13b),1
10,concept_problem_extraction,Llama-2-13b-chat,Annotator_8,0.3959464415498049,0.33874403460347935,0.32194152064830317,Llama-2 (13b),1
9,concept_problem_extraction,Llama-2-13b-chat,Annotator_7,0.4871505085413262,0.3925459367597832,0.39669826750269227,Llama-2 (13b),1
441,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_7,0.04002618793457712,0.8637334385117982,0.06122384756479702,Llama-2 (7b),2
354,medication_extraction,Llama-2-7b-chat-hf,Annotator_4,0.847466046325883,0.6282153026049512,0.6963024878295655,Llama-2 (7b),2
355,medication_extraction,Llama-2-7b-chat-hf,Annotator_5,0.46426139718431453,0.6625718736035103,0.5184936808427949,Llama-2 (7b),2
356,medication_extraction,Llama-2-7b-chat-hf,Annotator_6,0.8167026771384224,0.6403834077827287,0.6858477508400045,Llama-2 (7b),2
182,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_11,0.3135684746627788,0.5359648646518723,0.3536600599913372,Llama-2 (7b),2
183,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_12,0.5773960049298587,0.47386214327425047,0.4601583196305278,Llama-2 (7b),2
184,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_2,0.27351929092042687,0.4691989698823001,0.3078163019043937,Llama-2 (7b),2
190,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_8,0.4748601558817417,0.46845608730041227,0.4132734986834342,Llama-2 (7b),2
185,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_3,0.1683601820149367,0.4641382511552732,0.19965316826081844,Llama-2 (7b),2
357,medication_extraction,Llama-2-7b-chat-hf,Annotator_7,0.8252356326468705,0.629543788705405,0.6829109882236257,Llama-2 (7b),2
187,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_5,0.3491760506930216,0.5327320471735457,0.3794358148683379,Llama-2 (7b),2
188,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_6,0.6351694197530845,0.4848451095504558,0.4970712723872478,Llama-2 (7b),2
353,medication_extraction,Llama-2-7b-chat-hf,Annotator_3,0.6956444642323438,0.648067928269137,0.636231759384565,Llama-2 (7b),2
189,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_7,0.4477708730302019,0.4379431589067771,0.39911202712761323,Llama-2 (7b),2
358,medication_extraction,Llama-2-7b-chat-hf,Annotator_8,0.9002189045550024,0.6086899911673705,0.7044310932899839,Llama-2 (7b),2
186,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_4,0.7067136772805523,0.4400788542132371,0.49968253953794867,Llama-2 (7b),2
352,medication_extraction,Llama-2-7b-chat-hf,Annotator_2,0.8008223873113339,0.6403328241290376,0.6816698570376234,Llama-2 (7b),2
350,medication_extraction,Llama-2-7b-chat-hf,Annotator_11,0.3949769611957425,0.6936339691271983,0.481833648202957,Llama-2 (7b),2
23,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_9,0.2920546262704713,0.37757398285330956,0.2848880177878722,Llama-2 (7b),2
181,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_10,0.3006320388741445,0.5180666098567458,0.33577429628757555,Llama-2 (7b),2
348,medication_extraction,Llama-2-7b-chat-hf,Annotator_1,0.43087853645164365,0.6764505735074955,0.4987397785370391,Llama-2 (7b),2
349,medication_extraction,Llama-2-7b-chat-hf,Annotator_10,0.4664101349743582,0.6846977065057163,0.5244296718102569,Llama-2 (7b),2
351,medication_extraction,Llama-2-7b-chat-hf,Annotator_12,0.5856848009591386,0.6555456950679818,0.587471418581508,Llama-2 (7b),2
440,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_6,0.09108184051172054,0.8877871987702605,0.1216862070392829,Llama-2 (7b),2
191,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_9,0.2753020307114447,0.44490500373002667,0.2851886750785033,Llama-2 (7b),2
96,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_1,0.1312918521182746,0.4011982080040248,0.17255851432775746,Llama-2 (7b),2
432,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_1,0.029704521114609025,0.8889589094621938,0.051048113486186354,Llama-2 (7b),2
442,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_8,0.09961207423690743,0.8721468537220199,0.12270838334790629,Llama-2 (7b),2
443,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_9,0.04481105744975764,0.8859692743629349,0.06929298001951478,Llama-2 (7b),2
22,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_8,0.41342688087872914,0.3623589206227233,0.35110133605067884,Llama-2 (7b),2
20,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_6,0.4336382594331585,0.34505622782913953,0.3506647073917272,Llama-2 (7b),2
19,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_5,0.2941676039760495,0.3867690433067236,0.3033775065350381,Llama-2 (7b),2
433,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_10,0.03988819167026568,0.8937569446183367,0.06273372200465456,Llama-2 (7b),2
18,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_4,0.5509595538192156,0.32436871712113124,0.36926441915978975,Llama-2 (7b),2
16,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_2,0.41419435302113666,0.3656324604765478,0.34141517590981024,Llama-2 (7b),2
15,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_12,0.4134970358854227,0.3571366004691623,0.3388101299028983,Llama-2 (7b),2
14,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_11,0.325918454567244,0.4065569203408731,0.32420501510118727,Llama-2 (7b),2
13,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_10,0.3192613016131741,0.40931123855110546,0.31139006535542496,Llama-2 (7b),2
180,concept_treatment_extraction,Llama-2-7b-chat-hf,Annotator_1,0.22656527965773318,0.5050683555574946,0.27010939950910007,Llama-2 (7b),2
12,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_1,0.28579198824501206,0.3917305340201203,0.29727594080573816,Llama-2 (7b),2
17,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_3,0.36156986579402767,0.3661783189109669,0.3133836184531848,Llama-2 (7b),2
434,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_11,0.04889041958800359,0.9032403023773187,0.07771738800349519,Llama-2 (7b),2
21,concept_problem_extraction,Llama-2-7b-chat-hf,Annotator_7,0.4077320001167021,0.38677423457735627,0.35689313113983095,Llama-2 (7b),2
436,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_2,0.05895867605850834,0.873006663263131,0.08751614224984311,Llama-2 (7b),2
97,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_10,0.1895974206001,0.4276185511789033,0.2233598702903539,Llama-2 (7b),2
98,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_11,0.20842938121968044,0.3980165908171758,0.23705229400337144,Llama-2 (7b),2
435,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_12,0.03673155438022615,0.8783662091800861,0.060856788350585465,Llama-2 (7b),2
100,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_2,0.1523897923593846,0.3718999804054489,0.1861738821308033,Llama-2 (7b),2
101,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_3,0.11418561586396636,0.3708866663421012,0.12954758880432649,Llama-2 (7b),2
102,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_4,0.43989047278197874,0.30245874039543796,0.282172705798044,Llama-2 (7b),2
103,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_5,0.21765280747013616,0.4057452521035826,0.24819351576190957,Llama-2 (7b),2
104,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_6,0.33793686655886823,0.35269509064485094,0.26620900391445024,Llama-2 (7b),2
99,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_12,0.3257874132457061,0.380505053899683,0.2725137496365116,Llama-2 (7b),2
106,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_8,0.3231124169365617,0.2967050420350968,0.2673654525360019,Llama-2 (7b),2
359,medication_extraction,Llama-2-7b-chat-hf,Annotator_9,0.6180389742012895,0.6577571567765271,0.6028003994166993,Llama-2 (7b),2
107,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_9,0.2571629743126175,0.38581398880643103,0.25142959299927603,Llama-2 (7b),2
439,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_5,0.03194827940240864,0.8927854872912702,0.05349426728252997,Llama-2 (7b),2
437,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_3,0.05461320141364632,0.8832676514547906,0.08054480788547327,Llama-2 (7b),2
105,concept_test_extraction,Llama-2-7b-chat-hf,Annotator_7,0.48282759904028855,0.3097828086683619,0.30140143381136825,Llama-2 (7b),2
438,risk_factor_cad_extraction,Llama-2-7b-chat-hf,Annotator_4,0.06453605009164406,0.8948298894869136,0.09578177996935307,Llama-2 (7b),2
454,risk_factor_cad_extraction,alpaca-7b,Annotator_8,0.034951407668540616,0.7810452087221994,0.046385666754928584,Alpaca (7b),3
453,risk_factor_cad_extraction,alpaca-7b,Annotator_7,0.02754882401195528,0.7559555271325439,0.03414303336392299,Alpaca (7b),3
452,risk_factor_cad_extraction,alpaca-7b,Annotator_6,0.06719900239923349,0.8268484708864856,0.0815359393802044,Alpaca (7b),3
450,risk_factor_cad_extraction,alpaca-7b,Annotator_4,0.05996623716819128,0.8049293156408451,0.06926897246836085,Alpaca (7b),3
449,risk_factor_cad_extraction,alpaca-7b,Annotator_3,0.02365711851310964,0.7982459881982437,0.03205581007479294,Alpaca (7b),3
448,risk_factor_cad_extraction,alpaca-7b,Annotator_2,0.279752611233691,0.764679687804913,0.23405946662774677,Alpaca (7b),3
447,risk_factor_cad_extraction,alpaca-7b,Annotator_12,0.0265667294689062,0.7930587478113701,0.03768011496933214,Alpaca (7b),3
446,risk_factor_cad_extraction,alpaca-7b,Annotator_11,0.07288380773331979,0.8235961062277143,0.08512313678868695,Alpaca (7b),3
445,risk_factor_cad_extraction,alpaca-7b,Annotator_10,0.030319582766647056,0.8231650815649952,0.0462286894117086,Alpaca (7b),3
444,risk_factor_cad_extraction,alpaca-7b,Annotator_1,0.026982593472551945,0.802847057187526,0.04053478189182624,Alpaca (7b),3
451,risk_factor_cad_extraction,alpaca-7b,Annotator_5,0.05579912505793616,0.7955491061435841,0.06278391613960731,Alpaca (7b),3
29,concept_problem_extraction,alpaca-7b,Annotator_3,0.06697614340023977,0.238894720241856,0.09383258410286048,Alpaca (7b),3
361,medication_extraction,alpaca-7b,Annotator_10,0.16462715943086928,0.3046219085400274,0.2255508659212825,Alpaca (7b),3
362,medication_extraction,alpaca-7b,Annotator_11,0.057972994404541865,0.10965117665622165,0.1341879331692211,Alpaca (7b),3
363,medication_extraction,alpaca-7b,Annotator_12,0.09406243991870855,0.1503319447965631,0.20009914650392774,Alpaca (7b),3
364,medication_extraction,alpaca-7b,Annotator_2,0.13839418951166355,0.21697337247878629,0.23541135760208626,Alpaca (7b),3
365,medication_extraction,alpaca-7b,Annotator_3,0.08554026327149011,0.1854975307653047,0.1614602988427229,Alpaca (7b),3
366,medication_extraction,alpaca-7b,Annotator_4,0.07482960971070007,0.12995816131642174,0.16172842112702815,Alpaca (7b),3
367,medication_extraction,alpaca-7b,Annotator_5,0.21197348884468273,0.2916474062349033,0.29723927512117304,Alpaca (7b),3
368,medication_extraction,alpaca-7b,Annotator_6,0.2465307095356284,0.31091811263295377,0.3341555989802088,Alpaca (7b),3
369,medication_extraction,alpaca-7b,Annotator_7,0.10540909638773346,0.14826292967780483,0.21553297968914437,Alpaca (7b),3
370,medication_extraction,alpaca-7b,Annotator_8,0.27174390478956334,0.3041872229983151,0.3480013896470907,Alpaca (7b),3
371,medication_extraction,alpaca-7b,Annotator_9,0.18015159090783137,0.26086944802155293,0.27126119879485144,Alpaca (7b),3
455,risk_factor_cad_extraction,alpaca-7b,Annotator_9,0.023668270504578964,0.784638451244924,0.03468602437631895,Alpaca (7b),3
